,Id,rest_name,Tag
87,88,"Colocal ""The Cacao Artisans""",zucchinifries gardensalad vegtacos hotchocolate bruschetta sangria cafe desserts continental coffee italian beverages chhatarpur newdelhi
88,89,Farzi Cafe,modernizedpresentationofdisheswithanelegantdecor mughlai fingerfood northindian beverages connaughtplace newdelhi
89,90,The Drunken Botanist, continental italian northindian chinese cyberhub dlfcybercity gurgaon
90,91,Jamun, northindian mughlai fastfood beverages lodhicolony newdelhi
91,92,Anardana: Modern Kitchen & Bar, northindian italian chinese beverages biryani mughlai kebab karkardooma newdelhi
92,93,38 Barracks, fingerfood northindian italian chinese continental pizza desserts beverages connaughtplace newdelhi
93,94,Rooh, modernindian continental desserts mehrauli newdelhi
94,95,Sly Granny,biscuitsandgravy barleysalad tamarindchicken lambbolognaise babaganush applecrumble continental american italian european mexican desserts khanmarket newdelhi
95,96,Tamra - Shangri-La's - Eros Hotel, northindian continental european asian american desserts beverages shangri-la's-eroshotel connaughtplace newdelhi
96,97,Padmanabham, southindian northindian beverages desserts janpath newdelhi
97,98,Manhattan Bar & Brewery,kiwiblast brewedwheatbeer chocolatepan draftbeer garlicbreadwithcheese sevpuri fingerfood american continental northindian italian beverages globalfoyermall golfcourseroad gurgaon
98,99,Brewocrat - Brewery Skybar & Kitchen, fingerfood continental mediterranean italian asian elementsonemall sector49 gurgaon
99,100,Monkey Bar,terraceseatingambianceandgoodrangeofalcohol-below25yearsofagenotallowedafter6pm pizza burger continental chinese fastfood beverages vasantkunj newdelhi
100,101,Station Bar, chinese continental northindian mughlai fastfood beverages connaughtplace newdelhi
101,102,Rajinder Da Dhaba,makhmalifish vegmalaitikka gaulautikebab sataychicken chickenkalmi paneermalai northindian chinese mughlai safdarjung newdelhi
102,103,The Imperial Spice, northindian continental mughlai streetfood fastfood beverages connaughtplace newdelhi
103,104,The Turkey Project, cafe italian american beverages defencecolony newdelhi
104,105,ABB - Andrea's Bar & Brasserie,avocadoroll chocolatedome newzealandlambchops roastedvegetables kafirlime newyorkcheesecake italian asian european sushi thai salad pizza beverages khanmarket newdelhi
105,106,Spectra - The Leela Ambience, northindian continental oriental desserts beverages theleelaambience dlfphase3 gurgaon
106,107,Perch Wine & Coffee Bar,doublechocolatemousse coffeebar potatognocchi mangosorbet mulledwine chickensub beverages european continental khanmarket newdelhi
107,108,Andhra Bhavan,breakfastthali unlimitedvegthali sweetpan southindianmeals gunpowder chickenfry southindian andhra ferozeshahroad newdelhi
108,109,BlackJack,spicycheesyfries chocolateicecreamshake chickenjuicyburger nuttelashake fetacheesesalad cheesecakeshake fastfood beverages punjabibagh newdelhi
109,110,Jamie's Italian, italian pizza pasta desserts beverages ambiencemall vasantkunj newdelhi
110,111,Moonshine, fingerfood continental northindian chinese hauzkhas newdelhi
111,112,Bell Pepperz, chinese italian northindian kebab ashokviharphase2 newdelhi
112,113,Doodle's Garden, northindian continental asian beverages punjabibagh newdelhi
113,114,Triveni Terrace Cafe,masalacheesetoast coconutcurrychicken pohaa ragiidli paalakpattachaat gunpowderidli streetfood desserts beverages mandihouse newdelhi
114,115,Mamagoto,spicycalamari spicybangkokbowl kiwimintcooler nutellacrunch spicyramen rockshrimptempura asian chinese sushi desserts selectcitywalkmall saket newdelhi
115,116,Lakhori - Haveli Dharampura,flykitesattherooftopofhavelidharampuraalongwithalavish3coursehightea.itisbreathtakinglybeautifultolookattheskycoveredwithcolorfulkitesfromthehavelirooftop...readmore mughlai streetfood kebab chandnichowk newdelhi
116,117,The Potbelly,dalpitti maithilithali pudinachickenpulao tomatochokha bhojpurithali madhubanithali bihari fastfood beverages chanakyapuri newdelhi
117,118,SodaBottleOpenerWala,parsidelicacies bombaystreetfood andparsithemedambiance parsi northindian rolls streetfood desserts beverages khanmarket newdelhi
118,119,Al Nawaz Restaurant, mughlai northindian biryani kebab jasola newdelhi
119,120,Open Tap,hunanspicychicken tawamutton tandoorinonvegplatter wheatbeer brewedbeer beers fingerfood northindian chinese italian barfood sector49 gurgaon
120,121,64/6 -  Country Inn & Suites, northindian chinese thai continental countryinn&suitesbycarlson sahibabad ghaziabad
121,122,Punjab Grill,vegkurkuri meatpunjabgrill saaggosht panshots murglababdar authenticpunjabifood northindian mughlai biryani kebab desserts pacificmall tagoregarden newdelhi
122,123,Getafix, american cafe healthyfood salad beverages italian desserts crosspointmall dlfphase4 gurgaon
123,124,Ziu, asian thai chinese sushi japanese momos sangamcourtyard rkpuram newdelhi
124,125,AnnaMaya - Andaz Delhi, northindian european beverages desserts andazdelhi aerocity newdelhi
125,126,Open Tap,craftbeer brewedbeer darkbeer hotwings beers mixedsaucepasta barfood oriental continental fastfood northindian beverages sector29 gurgaon
126,127,Ricos,virginsangriapitcher rollercoastershake wafflesunday applepieshake chickenchips cottagecheesefingers cafe american italian mexican delhiuniversity-gtbnagar newdelhi
127,128,The Reader's Cafe, cafe italian fastfood beverages desserts indirapuramhabitatcentre indirapuram ghaziabad
128,129,Pinch Of Spice, northindian chinese kebab mughlai italian rajourigarden newdelhi
129,130,Phonebooth Reloaded,basilroll volcanopizza icedlemontea blueberrymojito stroganoff changezichicken northindian italian mexican continental delhiuniversity-gtbnagar newdelhi
130,131,Kofuku,wearehappytoannouncetheameliorationofdelectablejapanesesundaybrunchwithawidespreadofauthenticjapanesedelicaciesincludingsoups salads sushi appetisers maincourse&...readmore japanese asian sushi korean ansalplazamall khelgaonmarg newdelhi
131,132,Tama Brewery & World Kitchen,hefeweizen brewedwheatbeer thaispringroll friedchickenwings icedpeachtea blueberrycheesecake fastfood chinese mughlai northindian beverages sector16 faridabad
132,133,Theobroma,devilsmoussecake opiumpastry millionairebrownie cookiebrownie overloadbrownie cakeinajar desserts bakery beverages connaughtplace newdelhi
133,134,Tonino,chocolatelasagne calamari ravioli datenight risotto tiramisu italian pizza pasta salad beverages mgroad newdelhi
134,135,Varq - The Taj Mahal Hotel,getacomplimentarynight earnupto50%ofspendsaspointsat250+restaurants&muchmore.knowmore seafood northindian kebab thetajmahalhotel mansinghroad newdelhi
135,136,Feel Alive, northindian fastfood italian asian continental barfood sector29 gurgaon
136,137,Punjabi Angithi,bhunachaapmasala paneertikkatandoori paneerkurkure tawatikkamasala handipaneer buttergarlicnoodles northindian chinese rolls fastfood momos paschimvihar newdelhi
137,138,Saundhee Potli, biryani northindian mughlai lucknowi kebab chinese rolls momos indirapuram ghaziabad
138,139,Raise The Bar Rooftop - Clarens Hotel, european continental italian clarenshotel sector29 gurgaon gurgaon
139,140,Dana Choga, northindian chinese mughlai sector14 gurgaon
140,141,Ji Memsaab - Indian Terrace Restaurant & Bar,paneertikkapudina paneerfritters tandooristuffedmushroom dakmakhani rabrifaluda chicken65 northindian chinese mughlai continental asian italian beverages eroscitysquaremall sector49 gurgaon gurgaon
141,142,Karnataka Food Centre,plainmasaladosa mysorepak sweetpan filteredcoffee ravakesari potatofilling southindian beverages rkpuram newdelhi
142,143,Kake Di Hatti,legendarynorthindianrestaurantintheheartofolddelhi northindian beverages chandnichowk newdelhi
143,144,Hawa Bar, fastfood italian chinese sector63 noida
144,145,Berco's,shanghairice stirfriedasiangreens blackpepperpaneer chilligarlicprawn chickenhoney spicechicken chinese thai asian beverages hajipur noida
145,146,Crepe-fe, desserts fastfood american beverages pizza icecream ardeecity gurgaon
146,147,Mr. Crust Bakers,peachpie vegpattice fruitpudding chocochippastry makhanipasta hazelnutcoldcoffee bakery burger fastfood beverages vijaynagar newdelhi
147,148,The China Kitchen,pekingduck setmenu kungpaochicken dumplings dimsums soups chinese desserts hyattregency bhikajicamaplace newdelhi
148,149,PCO, italian beverages fastfood northindian vasantvihar newdelhi
149,150,Decode Air Bar,pavbhajicone beercocktail sauteedvegetables chocolateball brewedbeer spicychicken modernindian barfood sushi italian asian sector29 gurgaon
150,151,Giani's di Hatti,rabrifalluda meethilassi cholebhatoorey falooda fruitcream rajmachawal northindian chandnichowk newdelhi
151,152,Uptown Fresh Beer Cafe,mozzarellasticks wheatbeer lambchops beers pepperonipizza tiramisu fingerfood northindian italian european continental kebab momos dlfgalleria dlfphase4 gurgaon
152,153,The Haven International Coffee House,chickenclubsandwiches coffees hotchocolate latte whitesaucepasta brownie cafe fastfood continental beverages desserts coffee sector72 noida
