,Restaurant_Name,Category,Locality,Known_For2,Id
885,Burger King,"Burger, Desserts, Beverages, Fast Food"," Aggarwal City Mall, Pitampura, New Delhi","Economical, Cozy Ambiance, Nice Crowd, Inexpensive, Great Recommendations, Polite Staff",886
886,Privee',"Continental, North Indian, Chinese, Bar Food"," Janpath, New Delhi","Best Club, Live Entertainment, Dj, Great Music, Packed on Weekends, Good Crowd",887
887,Food Strikers,"North Indian, Chinese"," MG Road, Gurgaon","Dal Masala, Mushroom Butter Masala, Aloo Gobhi, Special Thali, Kadhai Paneer, Rice",888
888,Urban Punjab,"North Indian, Chinese, Rolls"," Vivek Vihar, New Delhi","Achaari Chaap, Malai Chaap Roll, Dal Makhni, Paneer Tikka, Rolls",889
889,Kitty Su - The Lalit New Delhi,"Finger Food, Italian"," The Lalit New Delhi, Barakhamba Road, New Delhi","Variety of Beer, Best Club, Sound System, Good Bartenders, Dance Floor, Amazing Music",890
890,Cinnamon Kitchen,"North Indian, Chinese, Continental, Italian, Fast Food, Beverages"," Aditya City Centre, Indirapuram, Ghaziabad","Mushroom Kabab, Chicken Lollipop, Mocktails, Kadhai Paneer, Spring Roll, Butter Naan",891
891,Gujarat Bhawan Restaurant,"Gujarati, South Indian"," Chanakyapuri, New Delhi","Fafda Jalebi, Authentic Gujarati Food, Gujarati Kadhi, Mixed Dal, Khichadi, Dhokla",892
892,SOHO Kitchen & Co.,"Pizza, Salad, Burger, Sandwich, Lebanese, Italian"," Sector 37, Noida","Watermelon Drink, Chicken Ham, Chicken Lasagna, Lasagne, Pie, Peri Fries",893
893,The One - Le Meridien,Continental," Le Meridien, Janpath, New Delhi",,894
894,Roasted By Roseate,"Cafe, Bakery, Fast Food, Continental, Beverages, Coffee"," Roseate House, Aerocity, New Delhi",,895
895,Sabzi Heritage,"North Indian, Fast Food, Beverages"," Golf Course Extension, Gurgaon",,896
896,Viva O' Viva Goa,"Goan, Seafood"," Chanakyapuri, New Delhi","Prawn Balchao, Authentic Goan Food, Peri Peri Prawn, Chicken Xacuti, Sea Food, Seafood",897
897,Amritsari Naan & Kulcha,North Indian," Kirti Nagar, New Delhi","Unlimited Refills, Cozy Ambiance, Nice Crowd, Inexpensive, Elegantly Decorated, Pocket Friendly",898
898,The Tea Room From Blossom Kochhar,"Cafe, Fast Food, Sandwich"," Hauz Khas Village, New Delhi","White Tea, Ginger Tea, Masala Chai, Pancakes, Hot Chocolate, Cookies",899
899,Saleem's Restaurant,"North Indian, Mughlai, Kebab"," Kailash Colony, New Delhi","Kadhai Gosht, Sikandari Raan, Mutton Nahari, Chicken Burra, Afghan Chicken, Authentic Mughlai Food",900
900,Crazy Kitchen Rooftop & Lounge,"North Indian, Chinese, Italian, Fast Food"," Satyaniketan, New Delhi",,901
901,Moolchand Parantha,"North Indian, Beverages"," Kalkaji, New Delhi","Mutton Parantha, Aloo Pyaz Paratha, Gobhi Parantha, Parathas, Raita, Dal Makhni",902
902,Madan Sweets and Restaurant,"North Indian, South Indian, Chinese, Fast Food, Mithai"," Nehru Nagar, Ghaziabad","Imarti, Chilli Potatoes, Sweets, Samosa, Pav Bhaji, Lassi",903
903,Pizza'81,"Pizza, Fast Food"," Preet Vihar, New Delhi",,904
904,24/7 Restaurant - The Lalit New Delhi,"Continental, North Indian, Italian, Asian, Biryani, Beverages, Desserts"," The Lalit New Delhi, Barakhamba Road, New Delhi","Dal Baluchi, Sushi, Cappuccino, Deserts, Hot Chocolate, Salads",905
905,Essex Village - Kitchen & Bar,"North Indian, Italian, Chinese"," Essex Farms, Adchini, New Delhi","Vegetable Spring Roll, Chicken Handi, Mutton Seekh Kebab, Rasmalai, Mocktail, Gulab Jamun",906
906,Thalaivar,"South Indian, Kerala, Andhra, Tamil"," Shahpur Jat, New Delhi","Mutton Keema Dosa, Kuzhi Paniyaram, Roasted Mutton, Appam, Mysore Masala Dosa, Pepper Chicken",907
907,Sticky Rice,"Asian, Japanese, Beverages, Desserts"," Punjabi Bagh, New Delhi","Asparagus Tempura, Sticky Rice, Kung Pao Chicken, Sushi, Dimsums",908
908,Citrus Cafe,"North Indian, Asian, European, South Indian, Beverages"," Sandal Suites By Lemon Tree Hotels, Sector 135 Noida, Noida",,909
909,Kulcha Junction,Street Food," Karol Bagh, New Delhi","Garlic Paneer Kulcha, Mixed Kulcha, Paneer Naan, Aloo Kulcha, Boondi Raita, Lassi",910
910,Dilli 32 - The Leela Ambience Convention Hotel,"North Indian, Mughlai, Biryani, Fast Food, Beverages"," The Leela Ambience Convention Hotel, New Delhi","Live Music, Comfortable Seating, Excellent Service, Environment, Great Service, Nice Ambience",911
911,Jazbaa,"North Indian, Chinese, Italian, Beverages"," Rajouri Garden, New Delhi",,912
912,Shri Radhe Krishna Chole Bhature,North Indian," Karkardooma, New Delhi","Kulhad Lassi, Gobi Naan, Matar Mushroom, Paneer Rice, Chur Chur Naan Thali, Cholle Bhature",913
913,Kerala Hotel,"Kerala, Biryani"," INA, New Delhi","Roasted Beef, Crab, Chicken Fry, Mutton Curry, Prawns, Meat",914
914,Uber Lounge,"Continental, North Indian, Italian, Salad"," M Block Market, Greater Kailash 2 (GK2), New Delhi","Paneer Tikka Pudina, Shisha, Tandoori Chicken Tikka, Beer, Chilli Chicken, White Sauce Pasta",915
915,Cultured - Heartcrafted Brew & Eatery,"Continental, Fast Food, Mediterranean, Beverages"," Safdarjung, New Delhi","Assamese Thali, Croque Monsieur, Buttermilk Pancakes, Almond Cake, Tea, Coffee",916
916,Maa Tara,"Bengali, North Indian"," Chittaranjan Park, New Delhi","Rohu Kalia, Mustard Fish Curry, Fish Paturi, Doi Maach, Mutton Kasha, Begun Bhaja",917
917,Kunafa,"Desserts, Middle Eastern"," Lodhi Colony, New Delhi","Cashew Baklava, Turkish Tea, Kunafa, Sweets, Desserts, Coffee",918
918,Shakahari Restaurant,North Indian," Chawri Bazar, New Delhi","Polite Staff, Owner, Flavour, Prices, Ambience, Delicious Food",919
919,Broadway - Radisson Blu,"North Indian, Italian, Chinese, Continental, Beverages"," Radisson Blu Faridabad, Sector 20, Faridabad, Faridabad","Tawa Mutton, Jalebi, Noodle, Deserts, Salads, Mocktails",920
920,Domino's Pizza,"Pizza, Fast Food, Desserts, Beverages"," Ballabhgarh, Faridabad","Good Delivery, Cozy Ambiance, Nice Crowd, Prompt Service, Delivery Time, Polite Staff",921
921,Sardar-Ji-Bakhsh Coffee & Co.,"Cafe, Italian, Fast Food"," Hauz Khas, New Delhi","Hazelnut Coffee, Peri Fries, Thick Shakes, Chicken Popcorn, Coffees, Mocha",922
922,Chaska,"North Indian, Chinese, Mughlai, Beverages, Kebab"," NIT, Faridabad","Veg Malai Kofta, Afghan Chicken, Tawa Chicken, Chicken Malai Tikka, Tandoori Roti",923
923,Roshan Di Kulfi,"Chinese, North Indian, South Indian, Ice Cream, Mithai"," Karol Bagh, New Delhi","Faluda Kulfi Mix, Badami Kheer, Chana Bhatura, Pan Kulfi, Dosa Sambar, Paneer Pakora",924
924,Chai Point,"Tea, Fast Food, Beverages, Street Food"," Cyber Hub, DLF Cyber City, Gurgaon","Banana Pie, Ginger Lemon Tea, Egg Sandwich, Masala Chai, Poha, Paneer Tikka Sandwich",925
925,Simply South,South Indian," Gamma 1, Greater Noida","Vada Sambar, Filtered Coffee, Mysore Masala Dosa, Idli",926
926,Shri Hari Restaurant,North Indian," Lajpat Nagar 2, New Delhi","Pocket Friendly, Economical, Prompt Service, Quick Service, Portion, Best Place",927
927,Kullhad Chai,"South Indian, Street Food, North Indian, Tea, Beverages"," Rajinder Nagar, New Delhi","Bun Maskas, Tandoori Chai, Vada Pav, Filter Coffee, Pav Bhaji, Maggi",928
928,Kant Khana Khazana,North Indian," Sector 16, Faridabad",,929
929,Shake Square,"Beverages, Fast Food, Ice Cream, Desserts"," Connaught Place, New Delhi",,930
930,Mr. Choy,"Asian, Chinese, Japanese, Sushi, Desserts, Thai"," Khan Market, New Delhi","Custard Bao, Sizzling Chicken, Shanghai Chicken, Scallops, Ramen, Dimsum",931
931,Bunta Bar Live,"North Indian, Chinese, Momos, Fast Food"," Janpath, New Delhi","Walnut Brownie Sundae, Achari Paneer, Cheesy Fries, Cocktails, Soya Chaap, Alfredo Pasta",932
932,Club Lepid - By Cafe After Hours,"North Indian, Chinese, Continental"," City Centre Mall, Sector 12, Dwarka, New Delhi",,933
933,Crops & Curries,"North Indian, Continental, Chinese, Desserts, Fast Food, Beverages"," Sector 72, Noida",,934
934,Cheese & More - The Kitchen,"Continental, Fast Food"," Charmwood Village, Faridabad",,935
935,Flavours,"Chinese, Fast Food, Beverages"," Pitampura, New Delhi","Noodle, Chowmein, Cheese Burger, Veg Burger, Spring Roll, Chilli Potato",936
936,Janki Vaishno Dhaba,"North Indian, Chinese, Fast Food"," Subhash Nagar, New Delhi","Desi Vibes, Pocket Friendly, Quick Delivery, Reasonable Price, Food Quality, Good Food",937
937,KFC,"Burger, Fast Food, Beverages, Desserts"," Rohini, New Delhi","Strawberry Storm, Ginger Chicken, Popcorn Chicken, French Fries, Burgers",938
938,The Library - The Leela Palace,"Italian, Continental"," The Leela Palace, Chanakyapuri, New Delhi",,939
939,Dial a Cake,Bakery," Pandav Nagar, New Delhi","Chocolate Crunch Cake, Exotic Fruit Cake, White Forest Cake, Chocolate Truffle Pastry, Pineapple Cake, Choco Lava Cake",940
940,Bhape Da Hotel,"North Indian, Mughlai"," Connaught Place, New Delhi","Tomato Paneer, Dahi Mutton, Chicken Saag, Saag Meat, Keema Kaleji, Chicken Curry",941
941,Delhi Pavilion - Sheraton New Delhi Hotel,"North Indian, Continental, Asian"," Sheraton New Delhi Hotel, Saket, New Delhi","Chicken Croquettes, Seafood, Buffet, Chocolate Fudge, Cocktail, Noodle",942
942,Jade - The Claridges,"Thai, Asian, Beverages"," The Claridges, Aurangzeb Road, New Delhi","Jasmine Tea, Pan Fried Noodles, Dimsums, Starters, Noodles, Drinks",943
943,Mithaas,"North Indian, South Indian, Street Food, Continental, Mithai, Chinese"," Crossing Republik, Ghaziabad","Kaju Barfi, Hot Gulab Jamun, Rasgulla, Jalebi, Chole Bhature, Snacks",944
944,Baljeet's Amritsari Koolcha,North Indian," Rajouri Garden, New Delhi","Aloo Pyaz Kulcha, Mix Kulcha, Paneer Naan, Boondi Raita, Deluxe Thali",945
945,The For'est,"Cafe, Asian, Korean, Beverages"," Basant Lok Market, Vasant Vihar, New Delhi","Ham Sandwich, Sticky Rice, Pastries, Cheesecake, Cakes, Desserts",946
946,Blue Water Grille,"Mughlai, North Indian, Seafood, Chinese"," Rajinder Nagar, New Delhi","Paneer do Pyaza, Paneer Makhani, Chilli Paneer, Butter Chicken, Fish, Paneer Tikka",947
947,Shophouse by Kylin,"Japanese, Asian"," One Horizon Center, Golf Course Road, Gurgaon","Jasmine Tea, Kung Pao Chicken, Sushi, Dimsums, Soup, Salad",948
948,Haveli,North Indian," Murthal, New Delhi","Comfortable Seating Area, Family Place, Fancy Crowd, Beautiful Place, Sitting, Interior",949
949,The Chai Story,"Fast Food, Beverages, Tea, Sandwich, Pizza"," Munirka, New Delhi",,950
950,Gulati Da Punjabi Dhaba,"North Indian, Street Food"," NIT, Faridabad","Panneer Butter Masala, Tandoori Chaap, Dal Makhni, Naan, Momos",951
951,Wah Bhai Wah,North Indian," Sector 7, Faridabad","Tandoori Chaap, Afghani Chaap, Panneer Butter Masala, Malai Chaap, Rumali Roti, Mix Veg",952
952,Al Qureshi's,"North Indian, Mughlai, Raw Meats"," Alaknanda, New Delhi","Kali Mirch Chicken, Tawa Chicken, Chicken Seekh, Kababs, Afghani Chicken, Malai Tikka",953
953,STORY Club And Lounge - The Westin Gurgaon,"Bar Food, North Indian, Italian"," The Westin Gurgaon, Sector 29, Gurgaon",,954
954,Chidyaghar Bar - Roseate House,"Finger Food, Modern Indian"," Roseate House, Aerocity, New Delhi",,955
955,#OFF Campus,"Beverages, Continental, Italian, Fast Food, Momos"," Satyaniketan, New Delhi",,956
956,Rodeo Cantina & Kitchen,"Mexican, North Indian, Beverages"," Connaught Place, New Delhi","Michelada, Corn Chips, Chipotle Chicken, Churros, Succulent Chicken, Vanilla Cake",957
957,Healthy Chef,"Cafe, Healthy Food, Asian, Desserts, Fast Food, Beverages"," Janakpuri, New Delhi",,958
958,Manpasand Restro,"North Indian, South Indian, Chinese"," Sector 22, Gurgaon","Bang for the Buck, Economical, Polite Staff, Quick Service, Nice Food, Food Quality",959
959,Knight Rider Junction,"Chinese, Mughlai, Continental, Italian, North Indian"," Gwal Pahari, Gurgaon","Peri Peri Chicken, Honey Chilli Potatoes, Chilli Chicken, Drinks, Starters, Pasta",960
960,Park Balluchi,"Mughlai, North Indian, Chinese, BBQ, Afghan, Seafood"," Sector 72, Noida","Panneer Butter Masala, Paneer Lababdaar, Malai Kofta, Breads, Dal Makhani, Butter Chicken",961
961,Hale And Hearty,"Continental, Healthy Food"," Hauz Khas, New Delhi","Vegan Options, Hygienic Place, Customizable Dishes, Healthy Food, Weekend Brunch, Interior",962
962,The Chocolate Room,"Desserts, Mexican, Italian, Beverages"," City Centre Mall, Sector 12, Dwarka, New Delhi","Chocolate Pancakes, Chocolate Ball, Waffle, Sandwiches, Shakes, Coffee",963
963,Nitin Da Dhaba,"North Indian, Chinese, Fast Food"," Sheikh Sarai, New Delhi","Kadai Chicken, Cheesecake, Chaap, Dal Makhni, Butter Chicken",964
964,The Gol Chakkar Cafe,"North Indian, Continental, Chinese, Mughlai, Fast Food, Beverages"," Kalkaji, New Delhi","Peri Peri Pizza, Tandoori Platter, Mutton Seekh, Tiramisu, Mocktail, Hummus",965
965,The Punjabi Junction,"North Indian, Chinese, Mughlai, Biryani"," Jaipuria Sunrise Plaza, Indirapuram, Ghaziabad",,966
966,League Of Nations,"North Indian, Fast Food, Chinese, Beverages"," Vijay Nagar, New Delhi","Signature Chapman, Chocolate Pancakes, Chinese Platter, Chicken Burger, White Sauce Pasta, Shakes",967
967,Dunkin' Donuts,"Desserts, Beverages, Burger, Fast Food"," Barakhamba Road, New Delhi","Cookie Cartwheel, Heaven can Wait Burger, Chocolate Eclairs, Eclair, Coffees, Wraps",968
968,Kake Da Hotel,"North Indian, Fast Food, Mughlai, Desserts, Beverages"," Malviya Nagar, New Delhi",,969
969,Rasoi By Atithi House,"North Indian, Chinese, Mughlai, Fast Food, Desserts, Beverages"," Knowledge Park, Greater Noida",,970
970,Handi Highway Dining,North Indian," Raj Nagar, Ghaziabad","Ginger Chicken, Manchurian Dry, Pav Bhaji, Honey Chilli Potatoes, Paneer Butter Masala, Mocktails",971
971,Drool Fresh Bakehouse & Cafe,"Cafe, Italian, Chinese, North Indian, Thai"," Sector 13, Dwarka, New Delhi","Strawberry Mousse, Mud Pastry, Cheesy Garlic Bread, Lasagne, Chocolate Truffle, Beers",972
972,Kafe Republic,"Cafe, Continental, Fast Food, Beverages"," Indirapuram, Ghaziabad",,973
973,UP 16 Cafe & Bar,"Mughlai, North Indian, Pizza, Continental, Italian, Chinese, Street Food"," Logix City Centre, Sector 32, Noida, Noida","Ambience was Super Cool, Weekend Brunch, Amazing Ambience, Good Music, Elaborate Menu, Good Wifi",974
974,Yo Tibet,"Chinese, Tibetan, North Indian"," Safdarjung, New Delhi","Stir Fried Chicken, Devil Momos, Pork Ribs, Egg Fried Rice, Momo, Chicken Momos",975
975,The Biryani House,"Biryani, North Indian, Beverages"," Kamla Nagar, New Delhi","Chicken Mandi, Hyderabadi Chicken Biryani, Paneer Biryani, Chicken 65, Starters",976
976,The Feast Box,"Chinese, Italian, Momos, Burger, Wraps, Fast Food, Beverages"," Sector 135, Noida",,977
977,Al - Bake,"North Indian, Chinese, Mughlai, Kebab, Momos"," Community Centre, New Friends Colony, New Delhi","Mutton Hyderabadi, Chicken Shawarama, Shawarma Rolls, Shawarma Platter, Tangdi Chicken, Gravy Chicken",978
978,Jahangeer Foods,"North Indian, Mughlai"," Daryaganj, New Delhi","Authentic Mughlai Food, Khameeri Roti, Changezi Chicken, Butter Chicken",979
979,Waffle King,"Desserts, Fast Food, Beverages"," Pitampura, New Delhi",,980
980,Delhi Salad Store,"Salad, Fast Food, Healthy Food, Beverages"," M Block Market, Greater Kailash 1 (GK1), New Delhi",,981
981,SGF - Spice Grill Flame,"North Indian, Chinese, Rolls"," Model Town 2, New Delhi",,982
982,Shri Ram Dhaba,"North Indian, Chinese, Fast Food"," Sohna Road, Gurgaon","Dal Chawal, Paneer Taka Tak, Mixed Vegetables, Parathas, Lassi, Palak Paneer",983
983,Hunger Cure,"Fast Food, Chinese, Beverages, Desserts, North Indian"," Sector 14, Faridabad","Dragon Roll, Chocolate Fudge, Soups, Salads, Spring Rolls, Hakka Noodles",984
984,The Galaxy,"North Indian, Chinese, Rolls, Momos"," Delhi University-GTB Nagar, New Delhi","Bhati Ka Murg, Veg Seekh Kabab, Cheese Naan, Chicken Burra, Afghani Chaap, Kadhai Chicken",985
985,The Thickshake Factory,"Beverages, Desserts, Ice Cream"," Gaur City 1, Greater Noida","Loved it, Elaborate Menu, Hospitality, Hygiene, Student Crowd, Young Crowd",986
986,Alkakori Alkauser,"Mughlai, North Indian"," R K Puram, New Delhi",,987
987,Le Chef,"North Indian, Chinese, South Indian, Fast Food, Ice Cream, Beverages"," Cross River Mall, Karkardooma, New Delhi",,988
988,Jack 'N' Chill,"American, Italian, Cafe, Salad"," Vijay Nagar, New Delhi","Strawberry Margarita, Blueberry Shake, Crispy Chicken, Peri Fries, Lasagne, Noodle",989
989,Fill Up,"North Indian, Chinese"," Sector PI, Greater Noida",Good North Indian food with good portions at easy on the pocket prices.,990
990,Pioneer's Flavours of China,"Chinese, Seafood"," Connaught Place, New Delhi","Spicy Wonton, Date Pancake, Fried Prawns, Spicy Chicken, Chinese Platter, Noodle",991
991,Delicieux,"Bakery, Desserts, Chinese, Fast Food, Burger"," Janakpuri, New Delhi",,992
992,Shiv Shankar Dhaba,North Indian," Paschim Vihar, New Delhi","Very Cheap, Pocket Friendly, Portion Size, Tasty Food, Good Food, Quantity",993
993,Fabelle Chocolates - ITC Maurya,"Desserts, Bakery"," ITC Maurya, Chanakyapuri, New Delhi",,994
994,Bombay Blast,"Street Food, Fast Food, Beverages"," Ashok Vihar Phase 2, New Delhi","Masala Pao Bhaji, Tawa Pulao, Dahi Puri, Bhel Puri, Vada Pao, Pav Bhaji",995
995,Cake Bhandar,"Bakery, Desserts"," Sector 62, Noida","Chocolate Almond, Chocolate Coffee, Eggless Cake, Red Velvet Cake Jar, Strawberry Cake, Chocolate Fudge Cake",996
996,Indyaki - Radisson Blu,"North Indian, Mughlai, Desserts"," Radisson Blu, Paschim Vihar, New Delhi","Live Kitchen, Lovely Ambience, Live Music, Amazing Ambience, Excellent Service, Hospitality",997
997,Mad Over Donuts,"Desserts, Beverages"," M Block Market, Greater Kailash 1 (GK1), New Delhi",,998
998,Shawarma Factory,"Arabian, Biryani, Lebanese"," Jaipuria Sunrise Plaza, Indirapuram, Ghaziabad",,999
999,Tunday Kababi,"Lucknowi, Mughlai"," Qutab Plaza, DLF Phase 1, Gurgaon","Mutton Galouti Kabab, Kali Mirch Chicken, Kababs, Chicken Korma, Mutton Biryani, Paratha",1000
1000,Brown Sugar,"Fast Food, Chinese, Bakery, Desserts, North Indian, Beverages"," M Block Market, Greater Kailash 1 (GK1), New Delhi","Wheat Steamos, Chocolate Pie, Chicken Sandwiches, Oreo Shakes, Milkshakes, Smoothies",1001
1001,Karnataka,"South Indian, North Indian, Chinese"," Yusuf Sarai, New Delhi","Upma, Mysore Masala Dosa, Dahi Vada, Filter Coffee, Sambhar, Idli",1002
1002,Vaishno Punjabi Dhaba,North Indian," Prashant Vihar, New Delhi","Cheese Tomato, Tandoori Naan, Paneer Bhurji, Panneer Butter Masala, Malai Kofta, Butter Naan",1003
1003,Ama Thakali,"Nepalese, Chinese"," Majnu ka Tila, New Delhi","Authentic Nepali Food, Aloo Sadeko, Nepali Thali, Mutton Thali, Chicken Curry, Dessert",1004
1004,The Burger Company,"Burger, Fast Food, Beverages"," Global Foyer, Palam Vihar, Gurgaon",,1005
1005,The Coffee Bean & Tea Leaf,"Coffee, Tea, Cafe, Fast Food, Sandwich, Bakery, Desserts, Beverages"," Select Citywalk Mall, Saket, New Delhi","Decaf Coffee, Hazelnut Americano, Mocha Latte, Chocolate Pie, Almond Cake, Dessert Counter",1006
1006,4th Street Cafe,"Fast Food, Beverages, Cafe"," Preet Vihar, New Delhi","Chicken Fried Momos, Peri Fries, White Pasta, Maggie, Salads, Sandwiches",1007
1007,HashStix,"Burger, Momos, Fast Food, Desserts, Beverages"," Sector 15, Faridabad","Kit Kat Shake, Waffle, Chicken Momos, Spring Rolls, Shakes, Chutney",1008
1008,Nirula's,"Fast Food, Pizza, Ice Cream, Beverages, Desserts"," Sushant Lok, Gurgaon","Ice Cream Sundae, Choco Fudge, Sundae, Ice Creams, Dessert, Burgers",1009
1009,Om Sai Ram Andhra Mess,"Biryani, South Indian"," Sector 45, Gurgaon","Andhra Chicken, Plain Rice, Masala Dosa, Chicken Biryani",1010
1010,La Vie Pizzeria,"Pizza, Fast Food, Beverages"," Khan Market, New Delhi","Garden Pizza, Mushroom Soup, Lasagne, Pepperoni Pizza, Bruschetta, Smoothie",1011
1011,Arabian Delites,"Arabian, Fast Food, Wraps, Rolls"," Flyover Market, Defence Colony, New Delhi","Rotisserie Chicken, Chicken Platter, Peri Peri Sauce, Potato Wedges, Falafel, Chicken Shawarma",1012
1012,Madras Cafe,"South Indian, Chinese"," Shahdara, New Delhi","Paneer Uttapam, Vada Sambar, Idli Sambar, Sambhar, Noodle",1013
1013,The Chocolate Villa,"Bakery, Fast Food, Desserts, Beverages"," Crescent Square Mall, Rohini, New Delhi","Chocolate Villa, Sizzling Brownie, Mud Cake, Chocolate Truffle Pastry, Cupcakes, Pastries",1014
1014,Bistro 37,"Cafe, Chinese, Italian, Sandwich, Burger, Beverages, Continental"," Hajipur, Noida","Risotto, Cheesy Fries, Bruschetta, Chicken Sandwich, Sandwiches, Mojito",1015
1015,Anjlika,"Bakery, Fast Food, Rolls, Ice Cream, Desserts, Beverages"," Rajouri Garden, New Delhi","Caramel Fudge, Almond Biscotti, Chocochip Cake, Chicken Tikka Sandwich, Thick Shakes, Cookies",1016
1016,Cake Desire,Bakery," Palam Vihar, Gurgaon","Chocochip Cake, Eggless Cakes, Fresh Fruit Cake, Chocolate Truffle Cake, Pastries",1017
1017,The Regal Kitchen,"North Indian, Chinese, Momos"," Sector 7, Dwarka, New Delhi","Kheer, Kadhai Chicken, Chicken Malai Tikka, Chilli Potato, Paneer Lababdar, Shahi Paneer",1018
1018,Too Indian,"North Indian, Continental"," Rajouri Garden, New Delhi","Mango Sorbet, Nutella Shakes, Chicken Curry Home Style, Paneer Tacos, Veg Tacos, Hummus Pita",1019
1019,Veda,"North Indian, Mughlai, Beverages, Biryani"," Connaught Place, New Delhi",Rohit Bal designed interiors and North Indian spread,1020
1020,Khan Chacha,"North Indian, Mughlai, Rolls, Beverages"," Khan Market, New Delhi","Haryali Roll, Spicy Chicken Roll, Mutton Kakori, Aloo Roll, Khameeri Roti, Chicken Kebab",1021
1021,Al Lazeez,"North Indian, Mughlai, Rolls, Biryani"," Lajpat Nagar 4, New Delhi","Achari Chicken, Keema Gravy, Mughlai Food, Tawa Chicken, Chicken Curry, Naan",1022
1022,Havmor Ice Cream,"Ice Cream, Desserts"," Janakpuri, New Delhi","Chocolate Lollipop, Oreo Overload, Choco Brownie, Ice Creams, Icecream",1023
1023,Breakfast Point,North Indian," Prashant Vihar, New Delhi","Cordial Staff, Economical, Pocket Friendly, Comfort Food, Authentic Taste, Prompt Service",1024
1024,Kake Da Hotel,"North Indian, Mughlai, Rolls, Chinese"," Jail Road, New Delhi","Handi Meat, Rara Meat, Chicken Thali, Paneer Tikka Masala, Soya Chaap, Garlic Naan",1025
1025,Surahi By The Rajkamal,"North Indian, Chinese"," Connaught Place, New Delhi","Deluxe Veggie Burger, Soya Chaap Masala, Spring Roll, Drink, Platter, Soup",1026
1026,The Chinese Hut,"Chinese, Fast Food, Momos"," Aditya City Centre, Indirapuram, Ghaziabad","Crispy Honey Chilli Potato, Pan Fried Noodles, Chicken Soup, Noodles, Starters",1027
1027,Wabi Sabi,"Bakery, Fast Food, Desserts"," Sector 93, Noida","Owner, Great Taste, Price, Value for Money, Experience, Good Quality",1028
1028,Makhani Siingh,"North Indian, Mughlai, Biryani, Rolls"," The Great India Place, Sector 38, Noida","Paneer Masala Biryani, Dum Aloo Kashmiri, Soya Chaap Biryani, Non Veg Biryani, Tandoori Chaap, Jeera Rice",1029
1029,BTW,"North Indian, Street Food, South Indian, Chinese"," Living Style Mall, Jasola, New Delhi","Peda, Sev Puri, Raj Kachori, Tandoori Platter, Vada, Chutneys",1030
1030,Angels In My Kitchen,"Bakery, Fast Food"," Cyber Hub, DLF Cyber City, Gurgaon","Belgian Evasion Cake, Chocolate Evasion, Mocha Pastry, Walnut Pie, Chocolate Croissant, Eclairs",1031
1031,Subway,"Healthy Food, Fast Food, Salad, Wraps"," Vijay Nagar, New Delhi","Veggie Delite, Chicken Kofta, Teriyaki Chicken, Cookies, Salads, Sandwiches",1032
1032,Chinese Veg Crunch,"Chinese, Momos, North Indian"," Rohini, New Delhi","Manchurian Combo, Paneer Noodles, White Pasta, Honey Chilli Potato, Veg Hakka Noodles, Spring Roll",1033
1033,GreeNox Lounge,"Salad, Healthy Food, Juices, Beverages"," Sector 62, Noida","Paneer Salad, Banana Caramel, Chai, Salads, Sandwiches, White Sauce Pasta",1034
1034,Locale,"North Indian, Beverages, Italian, Mughlai"," Saket, New Delhi","Shredded Lamb Burger, Purple Shadow, Molten Chocolate Lava, Veg Extravaganza Pizza, Tiramisu, Falafel",1035
1035,Delhi Barbeque,"North Indian, Street Food, Beverages, Desserts"," Mahipalpur, New Delhi","Pan Kulfi, Fried Prawns, Barbeque, Crispy Corn, Buffet, Panner Tikka",1036
1036,Harish Bakery,"Bakery, Chinese, South Indian, Fast Food, North Indian, Beverages, Street Food, Desserts"," Old Railway Road, Gurgaon","Matar Kulcha, Golgappe, Chowmein, Honey Chilli Potatoes, Sweets, Cakes",1037
1037,Throttle Shrottle,"Cafe, North Indian, Fast Food, Beverages"," Gwal Pahari, Gurgaon","Chai, Tea, Sandwiches, White Sauce Pasta, Pasta, Drinks",1038
1038,Refections- The Juice Bar,"Beverages, Juices, Salad"," Yusuf Sarai, New Delhi","Rose Shake, Orange Mojito, Fried Cheese, Thick Shakes, Kit Kat Shake, Juices",1039
1039,DIOS The Neighbourhood Bistro,"Italian, Continental, Mexican, North Indian"," Sector 132, Noida","Thin Crust Pizza, Mocktails, Brownie, Wings, Corn, Pasta",1040
1040,Eato,"Mughlai, North Indian, Biryani, Chinese"," Sector 50, Gurgaon","Paneer Lababdar, Gulab Jamun, Tandoori Chicken, Dal, Butter Chicken, Soup",1041
1041,Kitchen Clicks,"North Indian, Chinese, Continental"," Indirapuram, Ghaziabad","New Menu, Variety of Pizza, Customizable Dishes, Good Options, Live Music, Weekend Brunch",1042
1042,Mocha Arthouse,"Cafe, North Indian, Continental, Beverages, Desserts, Fast Food"," DLF Promenade Mall, Vasant Kunj, New Delhi","Berry Blast, Shisha, Mocha, Coffees, Maggi, Hot Chocolate",1043
1043,Utsav - Gourmet Cakes and Breads,"Bakery, Desserts, Continental"," Shalimar Bagh, New Delhi","Chocolate Cookies, Choco Truffle, Red Velvet, Pastries, Cakes, Desserts",1044
1044,Delhi Baking Company - JW Marriott New Delhi,"Bakery, Cafe, Fast Food, Healthy Food"," JW Marriott New Delhi, New Delhi","Pastries, Cakes, Sandwiches, Coffee, Chocolate, Desserts",1045
